scheme_id,scheme_name,scheme_name_hindi,type,launch_year,benefit,benefit_hindi,eligibility,eligibility_hindi,description_english,description_hindi,documents_required,apply_link
122,Andhra Pradesh Farm Mechanization Scheme,आंध्र प्रदेश कृषि यंत्रीकरण योजना,State (Andhra Pradesh),2018,Financial assistance for purchasing farm machinery,कृषि मशीनरी खरीदने के लिए वित्तीय सहायता,Small and marginal farmers,लघु और सीमांत किसान,"Supports farmers in acquiring modern farm equipment like tractors, harvesters, and planters with financial subsidies. This scheme improves farming efficiency, reduces labor costs, and boosts agricultural productivity. Training on machinery usage is also provided.","किसानों को ट्रैक्टर, हार्वेस्टर और प्लांटर जैसे आधुनिक कृषि उपकरण खरीदने में वित्तीय सहायता प्रदान करता है। यह योजना खेती की दक्षता बढ़ाती है, श्रम लागत कम करती है, और कृषि उत्पादकता को बढ़ावा देती है। मशीनरी उपयोग पर प्रशिक्षण भी दिया जाता है।",Aadhaar Card|Land records|Purchase invoice,https://apfarmmachinery.ap.gov.in
123,Andhra Pradesh Soil Health Card Scheme,आंध्र प्रदेश मिट्टी स्वास्थ्य कार्ड योजना,State (Andhra Pradesh),2015,Free soil testing and soil health cards for farmers,किसानों के लिए मुफ्त मिट्टी परीक्षण और मिट्टी स्वास्थ्य कार्ड,All farmers with agricultural land in Andhra Pradesh,आंध्र प्रदेश में कृषि भूमि वाले सभी किसान,"Provides free soil testing services and issues soil health cards with recommendations to improve soil fertility. The scheme helps farmers optimize fertilizer usage, reduce costs, and increase crop productivity. It also promotes sustainable land management practices.","मुफ्त मिट्टी परीक्षण सेवा प्रदान करता है और मिट्टी उर्वरता सुधार के लिए सिफारिशों के साथ मिट्टी स्वास्थ्य कार्ड जारी करता है। यह योजना किसानों को उर्वरक उपयोग को अनुकूलित करने, लागत कम करने, और फसल उत्पादकता बढ़ाने में मदद करती है। यह सतत भूमि प्रबंधन प्रथाओं को भी बढ़ावा देती है।",Aadhaar Card|Land records|Soil sample submission,https://apsoilhealth.ap.gov.in
124,Andhra Pradesh Horticulture Development Scheme,आंध्र प्रदेश बागवानी विकास योजना,State (Andhra Pradesh),2016,Subsidies and technical support for horticulture farmers,बागवानी किसानों के लिए सब्सिडी और तकनीकी सहायता,Farmers engaged in horticulture activities,बागवानी गतिविधियों में लगे किसान,"Promotes horticulture crops such as fruits, vegetables, and flowers by offering subsidies on planting materials and infrastructure. Provides technical guidance and training to improve crop quality and marketability. Aims to increase farmers' income through diversification.","फल, सब्जियां और फूल जैसी बागवानी फसलों को बढ़ावा देने के लिए पौध सामग्रियों और बुनियादी ढांचे पर सब्सिडी प्रदान करता है। फसल गुणवत्ता और विपणन क्षमता बढ़ाने के लिए तकनीकी मार्गदर्शन और प्रशिक्षण देता है। यह विविधीकरण के माध्यम से किसानों की आय बढ़ाने का लक्ष्य रखता है।",Aadhaar Card|Land ownership proof|Horticulture activity proof,https://aphorticulture.ap.gov.in
125,Andhra Pradesh Agricultural Marketing Infrastructure Scheme,आंध्र प्रदेश कृषि विपणन अवसंरचना योजना,State (Andhra Pradesh),2017,Development of market infrastructure to help farmers get fair prices,किसानों को उचित मूल्य दिलाने के लिए बाजार अवसंरचना का विकास,Farmers and farmer groups involved in agricultural marketing,कृषि विपणन में लगे किसान और किसान समूह,"Supports the establishment of modern agricultural markets, warehouses, and cold storage facilities. This scheme ensures better price realization for farmers and reduces post-harvest losses. Encourages direct marketing to consumers to eliminate middlemen.","आधुनिक कृषि बाजारों, गोदामों और ठंडा भंडारण सुविधाओं की स्थापना का समर्थन करता है। यह योजना किसानों के लिए बेहतर मूल्य प्राप्ति सुनिश्चित करती है और कटाई के बाद के नुकसान को कम करती है। उपभोक्ताओं को सीधे विपणन को प्रोत्साहित करता है ताकि दलालों को खत्म किया जा सके।",Aadhaar Card|Farmer group registration|Land or warehouse documents,https://apmarketinfra.ap.gov.in
126,Andhra Pradesh Agri-Tech Innovation Scheme,आंध्र प्रदेश कृषि-तकनीक नवाचार योजना,State (Andhra Pradesh),2020,Funding and support for adoption of innovative agri-tech solutions,नवीन कृषि-तकनीकी समाधानों को अपनाने के लिए वित्त और सहायता,Farmers and startups developing agri-tech innovations,किसान और कृषि-तकनीक नवाचार विकसित करने वाले स्टार्टअप,"Encourages the use of modern technology like IoT, drones, and AI in agriculture by providing financial incentives and technical support. The scheme aims to boost productivity, reduce costs, and create new job opportunities in the agricultural sector. It also fosters collaboration between farmers and tech developers.","कृषि में IoT, ड्रोन और AI जैसी आधुनिक तकनीकों के उपयोग को वित्तीय प्रोत्साहन और तकनीकी सहायता प्रदान करके बढ़ावा देता है। यह योजना उत्पादकता बढ़ाने, लागत कम करने और कृषि क्षेत्र में नई रोजगार संभावनाएं बनाने का लक्ष्य रखती है। यह किसानों और तकनीकी डेवलपर्स के बीच सहयोग को भी बढ़ावा देती है।",Aadhaar Card|Project proposal|Startup registration (if applicable),https://apagritech.ap.gov.in
127,Andhra Pradesh Rythu Bima Scheme,आंध्र प्रदेश किसान बीमा योजना,State (Andhra Pradesh),2016,Financial compensation for crop failure and farmer's death due to accidents,फसल नुकसान और दुर्घटना से किसान की मृत्यु पर वित्तीय मुआवजा,All farmers registered with the state agriculture department,राज्य कृषि विभाग में पंजीकृत सभी किसान,This scheme provides monetary compensation to farmers who suffer crop losses due to natural calamities and accidents. It also offers benefits to the family in case of farmer’s death. The goal is to provide financial security and encourage sustainable farming.,यह योजना प्राकृतिक आपदाओं और दुर्घटनाओं के कारण फसल नुकसान झेलने वाले किसानों को मौद्रिक मुआवजा प्रदान करती है। किसान की मृत्यु होने पर परिवार को भी लाभ मिलता है। इसका उद्देश्य वित्तीय सुरक्षा प्रदान करना और सतत कृषि को प्रोत्साहित करना है।,Aadhaar Card|Bank Passbook|Land Ownership Documents,https://aprythubima.ap.gov.in
128,Andhra Pradesh Crop Loan Insurance,आंध्र प्रदेश फसल ऋण बीमा,State (Andhra Pradesh),2017,Insurance coverage on crop loans to reduce farmers’ financial burden,किसानों के वित्तीय बोझ को कम करने के लिए फसल ऋण पर बीमा कवरेज,Farmers availing crop loans from authorized banks,अधिकृत बैंकों से फसल ऋण लेने वाले किसान,This scheme insures crop loans taken by farmers to mitigate the risk of loan defaults caused by crop failure. It aims to protect farmers from financial stress and enable easy access to credit for future crops.,यह योजना फसल खराबी के कारण ऋण चुकाने में असमर्थता के जोखिम को कम करने के लिए किसानों द्वारा लिए गए फसल ऋणों का बीमा करती है। इसका उद्देश्य किसानों को वित्तीय तनाव से बचाना और भविष्य की फसलों के लिए क्रेडिट की आसान पहुंच सुनिश्चित करना है।,Loan sanction letter|Aadhaar Card|Crop insurance application form,https://apcroploaninsurance.ap.gov.in
129,Andhra Pradesh Weather-Based Crop Insurance,आंध्र प्रदेश मौसम आधारित फसल बीमा,State (Andhra Pradesh),2018,Payouts based on adverse weather conditions impacting crops,फसलों पर प्रभाव डालने वाली प्रतिकूल मौसम परिस्थितियों के आधार पर भुगतान,Farmers growing specific insured crops in Andhra Pradesh,आंध्र प्रदेश में बीमित फसलें उगाने वाले किसान,"The scheme provides financial support to farmers when weather parameters such as rainfall, temperature, or drought adversely affect their crops. It reduces the dependency on physical crop loss assessments and expedites claim settlements.","यह योजना किसानों को तब वित्तीय सहायता प्रदान करती है जब वर्षा, तापमान या सूखे जैसी मौसम की परिस्थितियां उनकी फसलों को प्रभावित करती हैं। यह भौतिक फसल नुकसान आकलन पर निर्भरता कम करती है और दावा निपटान की प्रक्रिया को तेज करती है।",Weather insurance form|Aadhaar Card|Land ownership proof,https://apweatherinsurance.ap.gov.in
130,Andhra Pradesh Horticulture Crop Insurance Scheme,आंध्र प्रदेश बागवानी फसल बीमा योजना,State (Andhra Pradesh),2019,Insurance cover for losses in horticultural crops due to natural hazards,प्राकृतिक आपदाओं के कारण बागवानी फसलों में नुकसान के लिए बीमा कवरेज,Horticulture farmers growing insured crops in Andhra Pradesh,आंध्र प्रदेश में बीमित बागवानी फसलें उगाने वाले किसान,"This scheme focuses on providing financial protection to farmers cultivating fruits, vegetables, and other horticultural crops against losses caused by pests, diseases, and natural disasters. It helps stabilize the income of horticulture farmers.","यह योजना फलों, सब्जियों और अन्य बागवानी फसलों की खेती करने वाले किसानों को कीट, रोग और प्राकृतिक आपदाओं के कारण हुए नुकसान के खिलाफ वित्तीय सुरक्षा प्रदान करने पर केंद्रित है। यह बागवानी किसानों की आय को स्थिर करने में मदद करता है।",Aadhaar Card|Horticulture crop details|Land ownership proof,https://aphorticultureinsurance.ap.gov.in
131,Andhra Pradesh Organic Farming Insurance Scheme,आंध्र प्रदेश जैविक खेती बीमा योजना,State (Andhra Pradesh),2020,Financial protection for losses in organic farming due to natural causes,प्राकृतिक कारणों से जैविक खेती में नुकसान के लिए वित्तीय सुरक्षा,Farmers practicing certified organic farming in Andhra Pradesh,आंध्र प्रदेश में प्रमाणित जैविक खेती करने वाले किसान,"This scheme offers coverage to farmers engaged in organic farming against losses due to drought, flood, pests, and diseases. It promotes sustainable agriculture and supports organic farmers to mitigate risks.","यह योजना सूखा, बाढ़, कीट और रोगों के कारण हुए नुकसान के खिलाफ जैविक खेती करने वाले किसानों को कवरेज प्रदान करती है। यह सतत कृषि को प्रोत्साहित करती है और जैविक किसानों को जोखिम कम करने में सहायता करती है।",Organic certification|Aadhaar Card|Land records,https://aporganicinsurance.ap.gov.in
132,Andhra Pradesh Small Farmer Crop Insurance Scheme,आंध्र प्रदेश लघु किसान फसल बीमा योजना,State (Andhra Pradesh),2017,Special insurance benefits tailored for small and marginal farmers,लघु और सीमांत किसानों के लिए विशेष बीमा लाभ,Small and marginal farmers with land holdings under 2 hectares,2 हेक्टेयर से कम भूमि वाले लघु और सीमांत किसान,"Designed to support small and marginal farmers, this scheme provides comprehensive insurance coverage against crop loss from natural calamities. It aims to enhance the financial stability of small-scale farming households.",लघु और सीमांत किसानों का समर्थन करने के लिए डिज़ाइन की गई यह योजना प्राकृतिक आपदाओं के कारण फसल नुकसान के खिलाफ व्यापक बीमा कवरेज प्रदान करती है। इसका उद्देश्य छोटे पैमाने पर खेती करने वाले परिवारों की वित्तीय स्थिरता बढ़ाना है।,Aadhaar Card|Proof of land ownership|Bank account details,https://apsmallfarmerinsurance.ap.gov.in
133,Andhra Pradesh Kisan Credit Card Insurance,आंध्र प्रदेश किसान क्रेडिट कार्ड बीमा,State (Andhra Pradesh),2018,Insurance protection for farmers availing Kisan Credit Card loans,किसान क्रेडिट कार्ड ऋण लेने वाले किसानों के लिए बीमा सुरक्षा,Farmers with active Kisan Credit Cards in Andhra Pradesh,आंध्र प्रदेश में सक्रिय किसान क्रेडिट कार्ड रखने वाले किसान,"This scheme insures loans taken through Kisan Credit Cards, protecting farmers from losses that may hinder repayment. It encourages credit discipline and financial inclusion by securing farmer loans.","यह योजना किसान क्रेडिट कार्ड के माध्यम से लिए गए ऋणों का बीमा करती है, जिससे किसानों को नुकसान से सुरक्षा मिलती है जो ऋण चुकाने में बाधा डाल सकते हैं। यह क्रेडिट अनुशासन और वित्तीय समावेशन को बढ़ावा देती है।",Kisan Credit Card|Aadhaar Card|Loan documents,https://apkccinsurance.ap.gov.in
134,Andhra Pradesh Farm Equipment Insurance Scheme,आंध्र प्रदेश कृषि उपकरण बीमा योजना,State (Andhra Pradesh),2019,Coverage for loss or damage to farm equipment and machinery,कृषि उपकरण और मशीनरी के नुकसान या क्षति के लिए कवरेज,Farmers owning agricultural machinery in Andhra Pradesh,आंध्र प्रदेश में कृषि मशीनरी के मालिक किसान,"This scheme provides insurance protection to farmers for loss or damage to agricultural machinery due to accidents, theft, or natural disasters. It ensures uninterrupted farm operations by mitigating financial losses.","यह योजना किसानों को दुर्घटना, चोरी या प्राकृतिक आपदाओं के कारण कृषि मशीनरी के नुकसान या क्षति से सुरक्षा प्रदान करती है। यह वित्तीय नुकसान को कम करके खेत के कार्यों को निरंतर बनाए रखने में मदद करती है।",Ownership proof of machinery|Aadhaar Card|Insurance application form,https://apfarmequipmentinsurance.ap.gov.in
135,Andhra Pradesh Livestock Insurance Scheme,आंध्र प्रदेश पशुधन बीमा योजना,State (Andhra Pradesh),2017,Financial protection against loss or death of livestock,पशुधन के नुकसान या मृत्यु के खिलाफ वित्तीय सुरक्षा,Livestock owners in Andhra Pradesh,आंध्र प्रदेश में पशुधन मालिक,"This scheme offers insurance coverage for farmers and livestock owners against losses caused by disease, accidents, or natural calamities affecting their animals. It safeguards the livelihood of farmers dependent on livestock.","यह योजना किसानों और पशुधन मालिकों को उनके पशुओं को प्रभावित करने वाली बीमारियों, दुर्घटनाओं या प्राकृतिक आपदाओं के कारण हुए नुकसान के खिलाफ बीमा कवरेज प्रदान करती है। यह पशुधन पर निर्भर किसानों की आजीविका की सुरक्षा करती है।",Livestock ownership proof|Aadhaar Card|Veterinary health certificate,https://ap-livestockinsurance.ap.gov.in
136,West Bengal Kisan Credit Card Scheme,पश्चिम बंगाल किसान क्रेडिट कार्ड योजना,State (West Bengal),2016,Easy access to credit for farmers with lower interest rates,कम ब्याज दरों के साथ किसानों के लिए आसान ऋण पहुँच,All farmers residing in West Bengal with cultivable land,पश्चिम बंगाल में खेती योग्य जमीन वाले सभी किसान,"This scheme provides farmers with timely credit for agricultural needs including purchase of seeds, fertilizers, and equipment. It aims to promote agricultural development and increase farmers' income.","यह योजना किसानों को बीज, उर्वरक और उपकरण खरीदने के लिए समय पर ऋण प्रदान करती है। इसका उद्देश्य कृषि विकास को बढ़ावा देना और किसानों की आय बढ़ाना है।",Aadhaar Card|Land ownership proof|Bank passbook,https://wbkcc.gov.in
137,West Bengal Krishak Bandhu Scheme,पश्चिम बंगाल कृषक बंधु योजना,State (West Bengal),2019,Financial assistance to farmers for crop production and insurance,फसल उत्पादन और बीमा के लिए किसानों को आर्थिक सहायता,Small and marginal farmers in West Bengal,पश्चिम बंगाल के लघु और सीमांत किसान,Krishak Bandhu scheme supports farmers financially by providing a fixed assistance amount per acre for cultivation and crop insurance coverage. It helps mitigate risks related to crop failure.,कृषक बंधु योजना किसानों को प्रति एकड़ निर्धारित सहायता राशि और फसल बीमा कवरेज प्रदान कर आर्थिक सहायता करती है। यह फसल नुकसान के जोखिम को कम करने में मदद करता है।,Aadhaar Card|Land record|Bank account details,https://krishakbandhu.wb.gov.in
138,West Bengal Farmers’ Welfare Pension Scheme,पश्चिम बंगाल किसान कल्याण पेंशन योजना,State (West Bengal),2018,Monthly pension for small and marginal farmers after retirement,सेवानिवृत्ति के बाद लघु और सीमांत किसानों के लिए मासिक पेंशन,Small and marginal farmers aged above 60 years in West Bengal,पश्चिम बंगाल के 60 वर्ष से अधिक उम्र के लघु और सीमांत किसान,This scheme provides a monthly pension to small and marginal farmers to ensure financial security in old age. It promotes welfare among the farming community in West Bengal.,यह योजना लघु और सीमांत किसानों को मासिक पेंशन प्रदान करती है ताकि वृद्धावस्था में आर्थिक सुरक्षा सुनिश्चित हो सके। यह पश्चिम बंगाल में कृषि समुदाय के कल्याण को बढ़ावा देती है।,Aadhaar Card|Age proof|Land ownership proof,https://wbfarmerspension.gov.in
139,West Bengal Soil Health Card Scheme,पश्चिम बंगाल मृदा स्वास्थ्य कार्ड योजना,State (West Bengal),2017,Free soil testing and recommendations for balanced fertilization,मुफ्त मृदा परीक्षण और संतुलित उर्वरक उपयोग के सुझाव,All farmers cultivating land in West Bengal,पश्चिम बंगाल में खेती करने वाले सभी किसान,"The scheme provides free soil health cards to farmers, helping them understand the nutrient status of their land. It guides optimal fertilizer use to improve crop yield and soil fertility.","यह योजना किसानों को मुफ्त मृदा स्वास्थ्य कार्ड प्रदान करती है, जिससे वे अपनी जमीन की पोषक तत्व स्थिति समझ सकें। यह बेहतर फसल उत्पादन और मृदा उर्वरता के लिए उर्वरक उपयोग के सुझाव देता है।",Aadhaar Card|Land ownership documents|Soil sample,https://soilhealthwb.gov.in
140,West Bengal Organic Farming Promotion Scheme,पश्चिम बंगाल जैविक खेती संवर्धन योजना,State (West Bengal),2020,Subsidies and training for farmers adopting organic farming practices,जैविक खेती अपनाने वाले किसानों को सब्सिडी और प्रशिक्षण,Farmers interested in organic farming in West Bengal,पश्चिम बंगाल में जैविक खेती में रुचि रखने वाले किसान,This scheme encourages farmers to adopt organic farming by providing financial support and training programs. It aims to promote sustainable agriculture and improve soil health.,यह योजना किसानों को आर्थिक सहायता और प्रशिक्षण कार्यक्रम प्रदान करके जैविक खेती को अपनाने के लिए प्रोत्साहित करती है। इसका उद्देश्य स्थायी कृषि को बढ़ावा देना और मृदा स्वास्थ्य में सुधार करना है।,Aadhaar Card|Farm details|Training enrollment proof,https://organicfarmingwb.gov.in
141,West Bengal Agricultural Machinery Subsidy Scheme,पश्चिम बंगाल कृषि मशीनरी सब्सिडी योजना,State (West Bengal),2018,Subsidy on purchase of agricultural machinery to improve productivity,उत्पादकता बढ़ाने के लिए कृषि मशीनरी खरीद पर सब्सिडी,Farmers and farmer groups in West Bengal,पश्चिम बंगाल के किसान और किसान समूह,"This scheme offers subsidies to farmers for buying tractors, threshers, and other agricultural machinery, aiming to modernize farming and increase efficiency.","यह योजना किसानों को ट्रैक्टर, थ्रेशर और अन्य कृषि मशीनरी खरीदने पर सब्सिडी प्रदान करती है, जिसका उद्देश्य खेती को आधुनिक बनाना और दक्षता बढ़ाना है।",Aadhaar Card|Land records|Quotation for machinery,https://agriculturewb.gov.in/machinery-subsidy
142,West Bengal Micro Irrigation Scheme,पश्चिम बंगाल सूक्ष्म सिंचाई योजना,State (West Bengal),2017,Financial assistance for installation of drip and sprinkler irrigation systems,ड्रिप और स्प्रिंकलर सिंचाई प्रणाली स्थापित करने के लिए आर्थिक सहायता,Farmers with irrigated land in West Bengal,पश्चिम बंगाल में सिंचित भूमि वाले किसान,"The scheme promotes water-efficient irrigation methods by providing subsidies for drip and sprinkler systems, helping farmers save water and increase crop yield.","यह योजना ड्रिप और स्प्रिंकलर सिस्टम पर सब्सिडी देकर जल-कुशल सिंचाई विधियों को बढ़ावा देती है, जिससे किसानों को पानी बचाने और फसल उत्पादन बढ़ाने में मदद मिलती है।",Aadhaar Card|Land ownership proof|Irrigation system quotation,https://microirrigationwb.gov.in
143,West Bengal Farmer Market Support Scheme,पश्चिम बंगाल किसान बाजार सहायता योजना,State (West Bengal),2021,Support for farmers to access better market prices and infrastructure,किसानों को बेहतर बाजार मूल्य और बुनियादी ढांचे तक पहुंच का समर्थन,Farmers and farmer groups selling produce in West Bengal,पश्चिम बंगाल में उत्पाद बेचने वाले किसान और किसान समूह,"This scheme helps farmers get better prices by providing market access support, infrastructure development, and direct selling opportunities.","यह योजना किसानों को बेहतर मूल्य दिलाने के लिए बाजार पहुंच, बुनियादी ढांचा विकास और प्रत्यक्ष बिक्री के अवसर प्रदान करती है।",Aadhaar Card|Proof of produce|Farmer group registration,https://farmersmarketwb.gov.in
144,West Bengal Crop Diversification Scheme,पश्चिम बंगाल फसल विविधीकरण योजना,State (West Bengal),2019,Incentives for farmers adopting crop diversification to increase income,आय बढ़ाने के लिए फसल विविधीकरण अपनाने वाले किसानों को प्रोत्साहन,Farmers willing to diversify crops in West Bengal,पश्चिम बंगाल में फसल विविधीकरण करने वाले किसान,"This scheme encourages farmers to diversify crops by providing incentives and technical support, reducing risk and improving income stability.","यह योजना किसानों को प्रोत्साहन और तकनीकी सहायता देकर फसल विविधीकरण को बढ़ावा देती है, जिससे जोखिम कम होता है और आय स्थिर होती है।",Aadhaar Card|Land documents|Crop plan,https://cropdiversificationwb.gov.in
145,West Bengal Agricultural Training & Extension Scheme,पश्चिम बंगाल कृषि प्रशिक्षण और विस्तार योजना,State (West Bengal),2018,Free training programs for farmers to improve skills and adopt modern techniques,किसानों के लिए कौशल सुधार और आधुनिक तकनीकों को अपनाने हेतु मुफ्त प्रशिक्षण कार्यक्रम,All farmers in West Bengal interested in skill development,पश्चिम बंगाल के सभी किसान जो कौशल विकास में रुचि रखते हैं,"This scheme offers free training and extension services to farmers, enabling them to learn about modern farming methods, pest management, and sustainable agriculture.","यह योजना किसानों को मुफ्त प्रशिक्षण और विस्तार सेवाएं प्रदान करती है, जिससे वे आधुनिक कृषि विधियों, कीट प्रबंधन और स्थायी कृषि के बारे में सीख सकें।",Aadhaar Card|Farmer ID|Enrollment form,https://agriculturetrainingwb.gov.in
146,Uttar Pradesh Seed Production Parks Initiative,उत्तर प्रदेश बीज उत्पादन पार्क पहल,State (Uttar Pradesh),2025,Access to high-quality seeds through dedicated parks,समर्पित पार्कों के माध्यम से उच्च गुणवत्ता वाले बीजों तक पहुंच,Farmers and seed producers in Uttar Pradesh,उत्तर प्रदेश के किसान और बीज उत्पादक,Aims to achieve self-sufficiency in seed production by establishing five dedicated seed production parks. This initiative will ensure the availability of high-yielding seed varieties to farmers.,पांच समर्पित बीज उत्पादन पार्कों की स्थापना करके बीज उत्पादन में आत्मनिर्भरता प्राप्त करने का लक्ष्य। यह पहल किसानों को उच्च उपज देने वाली बीज किस्मों की उपलब्धता सुनिश्चित करेगी।,Aadhaar Card|Land records|Seed producer registration (if applicable),https://upagripardarshi.gov.in
147,Uttar Pradesh Kamdhenu Yojana,उत्तर प्रदेश कामधेनु योजना,State (Uttar Pradesh),2013,Interest-free loans and subsidies for dairy farming,डेयरी फार्मिंग के लिए ब्याज मुक्त ऋण और सब्सिडी,Farmers and entrepreneurs interested in dairy farming in Uttar Pradesh,उत्तर प्रदेश में डेयरी फार्मिंग में रुचि रखने वाले किसान और उद्यमी,This scheme provides financial assistance to establish dairy units with high-yielding animals. It includes interest-free loans and subsidies to promote dairy farming and increase milk production.,यह योजना उच्च उत्पादकता वाले पशुओं के साथ डेयरी इकाइयों की स्थापना के लिए वित्तीय सहायता प्रदान करती है। इसमें डेयरी फार्मिंग को बढ़ावा देने और दूध उत्पादन बढ़ाने के लिए ब्याज मुक्त ऋण और सब्सिडी शामिल हैं।,Aadhaar Card|Land records|Bank account details|Dairy farming project report,http://animalhusb.up.nic.in
148,Uttar Pradesh Sodic Land Reclamation III Project,उत्तर प्रदेश सोडिक भूमि सुधार III परियोजना,State (Uttar Pradesh),2025,Reclamation of sodic lands for agricultural use,कृषि उपयोग के लिए सोडिक भूमि का सुधार,Farmers owning sodic lands in designated districts of Uttar Pradesh,उत्तर प्रदेश के नामित जिलों में सोडिक भूमि के मालिक किसान,"This project aims to reclaim sodic lands in 28 districts of Uttar Pradesh, enhancing soil fertility and agricultural productivity. It includes activities essential for favorable changes in overall farm income.","यह परियोजना उत्तर प्रदेश के 28 जिलों में सोडिक भूमि को सुधारने का लक्ष्य रखती है, जिससे मिट्टी की उर्वरता और कृषि उत्पादकता बढ़े। इसमें समग्र कृषि आय में अनुकूल परिवर्तन के लिए आवश्यक गतिविधियाँ शामिल हैं।",Aadhaar Card|Land records indicating sodic land|Bank account details,https://upagripardarshi.gov.in
149,Uttar Pradesh Gramin Bhandaran Yojana,उत्तर प्रदेश ग्रामीण भंडारण योजना,State (Uttar Pradesh),2001,Subsidies for construction of rural godowns,ग्रामीण गोदामों के निर्माण के लिए सब्सिडी,"Farmers, individuals, and organizations in rural areas of Uttar Pradesh","उत्तर प्रदेश के ग्रामीण क्षेत्रों में किसान, व्यक्ति और संगठन","This scheme offers subsidies to construct or renovate rural godowns, increasing storage capacity for farmers. It helps in reducing post-harvest losses and enables farmers to store produce until market conditions are favorable.","यह योजना ग्रामीण गोदामों के निर्माण या नवीनीकरण के लिए सब्सिडी प्रदान करती है, जिससे किसानों के लिए भंडारण क्षमता बढ़ती है। यह कटाई के बाद के नुकसान को कम करने में मदद करती है और किसानों को बाजार की अनुकूल स्थिति तक उपज को संग्रहीत करने में सक्षम बनाती है।",Aadhaar Card|Land records|Bank account details|Project proposal for godown construction,https://upagripardarshi.gov.in
150,Uttar Pradesh Atal Bhujal Yojana,उत्तर प्रदेश अटल भूजल योजना,Central,2019,Sustainable groundwater management practices,स्थायी भूजल प्रबंधन प्रथाएँ,Farmers in water-stressed areas of Uttar Pradesh,उत्तर प्रदेश के जल संकटग्रस्त क्षेत्रों के किसान,This scheme focuses on improving groundwater management through community participation. It promotes sustainable water use practices to ensure long-term water availability for agriculture.,यह योजना सामुदायिक भागीदारी के माध्यम से भूजल प्रबंधन में सुधार पर केंद्रित है। यह कृषि के लिए दीर्घकालिक जल उपलब्धता सुनिश्चित करने के लिए स्थायी जल उपयोग प्रथाओं को बढ़ावा देती है।,Aadhaar Card|Land records|Bank account details,https://upagripardarshi.gov.in
151,Punjab Smart Village Campaign (Gramin Agriculture Infra),पंजाब स्मार्ट गांव अभियान (ग्रामीण कृषि अवसंरचना),State (Punjab),2018,"Grants for developing agriculture infrastructure like cold storages, rural roads, and irrigation systems","कोल्ड स्टोरेज, ग्रामीण सड़कें और सिंचाई प्रणाली जैसे कृषि अवसंरचना के विकास के लिए अनुदान",All registered farmers and village panchayats,सभी पंजीकृत किसान और ग्राम पंचायतें,This scheme supports the construction of rural agri-infrastructure to reduce post-harvest losses and improve market access. It emphasizes self-reliant villages with better farming ecosystems.,यह योजना ग्रामीण कृषि अवसंरचना के निर्माण में सहायता करती है ताकि कटाई के बाद के नुकसान को कम किया जा सके और बाजार की पहुंच को बेहतर बनाया जा सके। इसका उद्देश्य आत्मनिर्भर गांव बनाना है।,Aadhaar Card|Land ownership documents|Panchayat NOC,https://smartvillage.punjab.gov.in
152,Mera Pani Meri Virasat Scheme,मेरा पानी मेरी विरासत योजना,State (Punjab),2020,₹7000 per acre incentive for farmers shifting from paddy to alternative crops,धान से वैकल्पिक फसलों की ओर स्थानांतरित करने वाले किसानों को ₹7000 प्रति एकड़ प्रोत्साहन,Farmers growing water-saving crops instead of paddy,धान की जगह जल-बचत वाली फसलें उगाने वाले किसान,"Launched to save groundwater by reducing paddy cultivation. It promotes sowing maize, cotton, pulses, and vegetables with financial incentives.","पंजाब में भूजल स्तर को बचाने के लिए इस योजना की शुरुआत की गई थी। यह मक्का, कपास, दालें और सब्जियां बोने को बढ़ावा देती है।",Aadhaar Card|Land ownership certificate|Crop declaration form,https://agripb.gov.in
153,Punjab Agricultural Mechanization Program,पंजाब कृषि यंत्रीकरण कार्यक्रम,State (Punjab),2019,"Subsidy up to 80% on agricultural machinery like seeders, harvesters, and mulchers","बीजक, हार्वेस्टर और मल्चर जैसी कृषि मशीनरी पर 80% तक की सब्सिडी",Small and marginal farmers with valid land records,वैध भूमि रिकॉर्ड वाले छोटे और सीमांत किसान,"To reduce manual labor and increase efficiency, this scheme offers subsidies on modern farming equipment, especially for stubble management and mechanized sowing.",मैनुअल श्रम को कम करने और दक्षता बढ़ाने के लिए यह योजना आधुनिक कृषि उपकरणों पर सब्सिडी प्रदान करती है।,Aadhaar Card|Land ownership documents|Bank passbook,https://agrimachinerypb.gov.in
154,Crop Residue Management Scheme,फसल अवशेष प्रबंधन योजना,State (Punjab),2018,Financial and equipment support to prevent stubble burning,पराली जलाने से रोकने के लिए वित्तीय सहायता और उपकरण,Farmers growing paddy and wheat,धान और गेहूं की खेती करने वाले किसान,This scheme tackles air pollution by encouraging farmers not to burn crop residue. Machinery like Super Seeder and Happy Seeder are subsidized.,यह योजना पराली जलाने से होने वाले प्रदूषण को रोकने के लिए किसानों को प्रेरित करती है। सुपर सीडर और हैप्पी सीडर जैसी मशीनरी पर सब्सिडी दी जाती है।,Aadhaar Card|Land records|Equipment purchase invoice,https://agripunjab.gov.in
